miRNA	disease	label	score
hsa-mir-125a	Abortion, Habitual	1	1.913928e-04
hsa-mir-196a	Abortion, Habitual	1	2.612462e-04
hsa-mir-499a	Abortion, Habitual	1	1.428149e-04
hsa-mir-198	Abortion, Habitual	0	7.031871e-05
hsa-mir-29a	Abortion, Habitual	0	4.579037e-04
hsa-mir-29b	Abortion, Habitual	0	4.192293e-04
hsa-let-7a	Abortion, Habitual	0	3.546044e-04
hsa-mir-141	Abortion, Habitual	0	2.396773e-04
hsa-mir-143	Abortion, Habitual	0	3.301327e-04
hsa-mir-145	Abortion, Habitual	0	4.820282e-04
hsa-mir-150	Abortion, Habitual	0	3.117959e-04
hsa-mir-15a	Abortion, Habitual	0	3.781871e-04
hsa-mir-16	Abortion, Habitual	0	4.612641e-04
hsa-mir-21	Abortion, Habitual	0	1.351187e-03
hsa-mir-1	Abortion, Habitual	0	4.092631e-04
hsa-mir-133a	Abortion, Habitual	0	3.681667e-04
hsa-mir-133b	Abortion, Habitual	0	2.692997e-04
hsa-mir-146a	Abortion, Habitual	0	6.898652e-04
hsa-mir-155	Abortion, Habitual	0	9.335683e-04
hsa-mir-208b	Abortion, Habitual	0	8.711358e-05
hsa-mir-103a	Abortion, Habitual	0	1.525963e-04
hsa-mir-106a	Abortion, Habitual	0	2.011752e-04
hsa-mir-10b	Abortion, Habitual	0	1.750104e-04
hsa-mir-126	Abortion, Habitual	0	4.130822e-04
hsa-mir-135a	Abortion, Habitual	0	9.862504e-05
hsa-mir-151a	Abortion, Habitual	0	1.113285e-04
hsa-mir-152	Abortion, Habitual	0	1.086829e-04
hsa-mir-17	Abortion, Habitual	0	5.564190e-04
hsa-mir-181b	Abortion, Habitual	0	2.437641e-04
hsa-mir-182	Abortion, Habitual	0	2.765678e-04
hsa-mir-183	Abortion, Habitual	0	2.287105e-04
hsa-mir-191	Abortion, Habitual	0	9.317060e-05
hsa-mir-192	Abortion, Habitual	0	1.915701e-04
hsa-mir-193b	Abortion, Habitual	0	1.410849e-04
hsa-mir-194	Abortion, Habitual	0	1.036745e-04
hsa-mir-195	Abortion, Habitual	0	2.539056e-04
hsa-mir-200a	Abortion, Habitual	0	2.801487e-04
hsa-mir-200b	Abortion, Habitual	0	3.266481e-04
hsa-mir-200c	Abortion, Habitual	0	2.736827e-04
hsa-mir-203	Abortion, Habitual	0	2.492313e-04
hsa-mir-204	Abortion, Habitual	0	1.308218e-04
hsa-mir-205	Abortion, Habitual	0	2.070461e-04
hsa-mir-20a	Abortion, Habitual	0	5.174222e-04
hsa-mir-210	Abortion, Habitual	0	3.025115e-04
hsa-mir-215	Abortion, Habitual	0	7.223695e-05
hsa-mir-221	Abortion, Habitual	0	4.835321e-04
hsa-mir-223	Abortion, Habitual	0	3.488339e-04
hsa-mir-25	Abortion, Habitual	0	1.646828e-04
hsa-mir-26b	Abortion, Habitual	0	1.486478e-04
hsa-mir-31	Abortion, Habitual	0	3.177286e-04
hsa-mir-34b	Abortion, Habitual	0	2.285295e-04
hsa-mir-429	Abortion, Habitual	0	1.754783e-04
hsa-mir-449a	Abortion, Habitual	0	6.242269e-05
hsa-mir-449b	Abortion, Habitual	0	6.408911e-05
hsa-mir-92a	Abortion, Habitual	0	4.156756e-04
hsa-mir-93	Abortion, Habitual	0	1.984560e-04
hsa-mir-95	Abortion, Habitual	0	5.919151e-05
hsa-mir-99b	Abortion, Habitual	0	9.307729e-05
hsa-let-7e	Abortion, Habitual	0	2.498981e-04
hsa-mir-101	Abortion, Habitual	0	2.107250e-04
hsa-mir-1180	Abortion, Habitual	0	5.976068e-06
hsa-mir-1184	Abortion, Habitual	0	5.976068e-06
hsa-mir-1246	Abortion, Habitual	0	3.218644e-05
hsa-mir-1247	Abortion, Habitual	0	5.976068e-06
hsa-mir-125b	Abortion, Habitual	0	5.484932e-04
hsa-mir-1273a	Abortion, Habitual	0	5.976068e-06
hsa-mir-1302	Abortion, Habitual	0	1.923674e-05
hsa-mir-146b	Abortion, Habitual	0	2.659848e-04
hsa-mir-148a	Abortion, Habitual	0	2.522485e-04
hsa-mir-148b	Abortion, Habitual	0	1.020458e-04
hsa-mir-18a	Abortion, Habitual	0	4.021893e-04
hsa-mir-18b	Abortion, Habitual	0	1.197197e-04
hsa-mir-196b	Abortion, Habitual	0	1.169421e-04
hsa-mir-1972	Abortion, Habitual	0	5.976068e-06
hsa-mir-19b	Abortion, Habitual	0	4.139364e-04
hsa-mir-219	Abortion, Habitual	0	1.173166e-04
hsa-mir-27a	Abortion, Habitual	0	2.113230e-04
hsa-mir-27b	Abortion, Habitual	0	1.763639e-04
hsa-mir-30a	Abortion, Habitual	0	2.375403e-04
hsa-mir-30b	Abortion, Habitual	0	2.109440e-04
hsa-mir-30c	Abortion, Habitual	0	1.499789e-04
hsa-mir-320c	Abortion, Habitual	0	4.632342e-05
hsa-mir-324	Abortion, Habitual	0	5.744860e-05
hsa-mir-338	Abortion, Habitual	0	1.008118e-04
hsa-mir-33a	Abortion, Habitual	0	3.298650e-05
hsa-mir-342	Abortion, Habitual	0	1.564246e-04
hsa-mir-345	Abortion, Habitual	0	4.078898e-05
hsa-mir-34a	Abortion, Habitual	0	5.233789e-04
hsa-mir-362	Abortion, Habitual	0	7.910008e-05
hsa-mir-374b	Abortion, Habitual	0	3.179256e-05
hsa-mir-378a	Abortion, Habitual	0	1.573929e-04
hsa-mir-421	Abortion, Habitual	0	4.323689e-05
hsa-mir-433	Abortion, Habitual	0	6.156593e-05
hsa-mir-452	Abortion, Habitual	0	6.283448e-05
hsa-mir-454	Abortion, Habitual	0	2.822018e-05
hsa-mir-505	Abortion, Habitual	0	1.220735e-05
hsa-mir-519a	Abortion, Habitual	0	2.765053e-05
hsa-mir-566	Abortion, Habitual	0	5.976068e-06
hsa-mir-582	Abortion, Habitual	0	5.976068e-06
hsa-mir-589	Abortion, Habitual	0	5.976068e-06
hsa-mir-619	Abortion, Habitual	0	5.976068e-06
hsa-mir-627	Abortion, Habitual	0	5.976068e-06
hsa-mir-635	Abortion, Habitual	0	5.976068e-06
hsa-mir-650	Abortion, Habitual	0	3.452979e-05
hsa-mir-655	Abortion, Habitual	0	1.147958e-05
hsa-mir-7	Abortion, Habitual	0	2.255422e-04
hsa-mir-744	Abortion, Habitual	0	2.249885e-05
hsa-mir-942	Abortion, Habitual	0	1.772082e-05
hsa-mir-100	Abortion, Habitual	0	1.977338e-04
hsa-mir-214	Abortion, Habitual	0	2.561876e-04
hsa-mir-484	Abortion, Habitual	0	5.135723e-05
hsa-mir-503	Abortion, Habitual	0	7.875947e-05
